92,22,246,39,18,16,149,1,1,19,13,4,0,0,1660,73,31,306,38,24,7,46,0,0,22,16,6,1,0,1940,-19,9,60,-1,6,-103,1
31,21,287,56,32,10,53,0,2,20,19,8,1,0,2145,121,25,154,23,10,7,52,0,2,14,11,4,0,0,1455,90,4,-133,-33,-22,-1,1
57,23,333,44,27,8,80,2,1,19,16,8,3,1,1889,198,34,191,26,15,4,26,0,1,23,10,4,0,0,1711,141,11,-142,-18,-12,-54,1
41,18,125,28,15,8,86,1,1,11,13,6,0,0,1545,164,40,159,25,14,5,45,2,1,18,16,6,1,1,2055,123,22,34,-3,-1,-41,1
146,31,199,29,18,13,99,0,2,12,17,8,0,0,1834,33,15,215,33,22,9,70,2,3,15,11,5,0,0,1766,-113,-16,16,4,4,-29,0
95,23,25,21,9,6,38,2,3,12,10,3,1,1,1305,152,36,164,28,17,10,71,0,0,20,14,3,1,1,2295,57,13,139,7,8,33,1
97,19,228,36,21,5,29,3,2,20,9,3,0,0,1549,119,31,243,32,18,6,31,0,0,18,13,4,0,0,2051,22,12,15,-4,-3,2,1
86,26,254,36,21,7,45,0,0,19,12,3,1,0,1629,77,21,324,54,34,8,45,1,3,22,18,8,1,1,1971,-9,-5,70,18,13,0,0
89,26,316,56,34,7,48,0,1,26,20,8,4,4,2363,34,21,183,18,13,5,30,2,0,12,7,1,0,0,1237,-55,-5,-133,-38,-21,-18,1
46,17,170,44,27,14,100,1,2,13,16,5,3,1,1864,102,31,152,28,15,4,38,0,0,18,15,6,1,0,1736,56,14,-18,-16,-12,-62,1
101,33,190,24,18,9,74,2,0,21,13,8,0,0,1956,141,25,209,31,19,11,84,2,2,20,13,8,0,0,1644,40,-8,19,7,1,10,0
97,23,206,27,18,7,49,2,2,16,8,3,0,0,1750,206,41,218,11,9,3,27,0,0,18,10,5,0,0,1850,109,18,12,-16,-9,-22,1
148,32,272,34,26,5,40,1,1,26,8,2,1,0,2053,95,18,278,43,26,7,56,1,2,16,13,5,3,0,1547,-53,-14,6,9,0,16,0
109,33,192,24,18,8,46,1,0,23,11,7,0,0,1869,103,26,188,35,18,8,62,0,2,19,14,7,3,2,1731,-6,-7,-4,11,0,16,0
70,20,242,48,22,7,73,1,2,19,12,1,3,1,1662,151,33,275,36,24,11,69,2,1,21,15,8,2,0,1938,81,13,33,-12,2,-4,1
51,14,250,45,24,8,55,2,1,18,12,3,1,0,1569,200,40,119,23,12,7,88,2,1,18,15,3,1,1,2031,149,26,-131,-22,-12,33,1
39,16,249,44,23,12,86,2,1,14,14,4,0,0,1681,104,36,146,26,11,6,45,0,1,17,14,5,0,0,1919,65,20,-103,-18,-12,-41,1
58,17,84,27,13,2,15,0,3,8,12,3,0,0,1323,140,30,443,39,33,6,50,1,0,30,10,7,0,0,2277,82,13,359,12,20,35,1
79,24,134,23,15,7,42,1,1,15,12,4,0,0,1615,98,26,233,37,23,5,45,1,1,21,16,6,1,1,1985,19,2,99,14,8,3,1
108,22,189,29,18,4,30,0,1,16,11,3,0,0,1731,82,16,297,42,29,8,72,1,1,18,13,4,0,0,1869,-26,-6,108,13,11,42,0
125,36,229,28,18,9,78,1,0,17,16,5,2,2,2074,72,18,255,35,21,7,84,2,0,16,12,4,1,0,1526,-53,-18,26,7,3,6,0
115,28,108,20,11,3,24,0,0,14,11,2,1,0,1405,163,34,265,31,20,10,79,1,0,24,12,4,0,0,2195,48,6,157,11,9,55,1
29,18,205,43,21,3,30,0,5,14,13,5,2,0,1608,187,37,149,22,15,6,40,0,0,18,15,8,0,0,1992,158,19,-56,-21,-6,10,1
66,18,169,43,20,10,88,0,1,15,14,4,1,1,1561,98,34,173,30,19,5,40,0,0,20,15,6,1,0,2039,32,16,4,-13,-1,-48,1
135,32,253,21,14,5,40,0,0,18,11,4,2,1,1746,113,25,108,26,16,7,58,1,0,16,15,8,1,0,1854,-22,-7,-145,5,2,18,0
77,14,227,37,21,7,49,2,5,21,9,5,0,0,1280,167,39,337,40,27,17,115,0,1,26,17,8,1,1,2320,90,25,110,3,6,66,1
14,13,168,41,25,10,73,1,1,12,16,4,1,1,1614,97,29,193,37,19,5,47,1,0,16,17,7,0,0,1986,83,16,25,-4,-6,-26,1
47,17,100,31,14,3,20,0,0,8,14,4,1,0,1270,191,40,127,22,16,13,99,0,0,18,14,7,0,0,2330,144,23,27,-9,2,79,1
55,23,336,32,21,6,40,0,0,19,8,2,0,0,1489,116,30,336,44,32,6,41,0,2,27,14,10,0,0,2111,61,7,0,12,11,1,0
128,24,175,29,16,7,60,0,0,12,15,6,0,0,1880,146,38,122,28,13,6,45,0,1,18,16,7,0,0,1720,18,14,-53,-1,-3,-15,1
104,25,242,34,20,12,80,1,1,14,17,6,2,2,1673,90,29,261,36,21,7,60,0,0,14,17,7,1,0,1927,-14,4,19,2,1,-20,0
92,29,165,24,13,9,86,1,0,15,12,5,0,0,1688,72,22,350,45,27,13,92,3,3,23,15,8,0,0,1912,-20,-7,185,21,14,6,0
61,26,238,35,19,4,39,2,1,23,13,6,0,0,1933,144,30,171,33,14,13,138,0,1,16,13,6,0,0,1667,83,4,-67,-2,-5,99,1
79,30,346,41,31,10,118,2,1,24,16,8,0,0,2123,79,23,190,28,12,5,35,1,0,14,13,3,0,0,1477,0,-7,-156,-13,-19,-83,0
139,47,169,24,16,9,85,2,1,16,20,10,1,1,2431,89,25,79,22,11,6,44,1,2,12,12,3,0,0,1534,-50,-22,-90,-2,-5,-41,0
21,22,344,42,24,13,94,0,0,18,14,4,0,0,1797,83,18,365,52,30,10,81,1,1,26,14,7,0,0,1803,62,-4,21,10,6,-13,1
95,32,348,38,24,6,45,1,2,26,13,6,3,1,1925,124,25,266,34,21,8,67,1,2,19,12,6,0,0,1675,29,-7,-82,-4,-3,22,0
236,36,167,27,15,7,75,1,1,24,12,7,0,0,1751,172,35,36,23,10,3,35,1,1,18,14,6,2,1,1849,-64,-1,-131,-4,-5,-40,0
86,23,338,41,24,12,83,1,0,23,15,8,0,0,1795,268,33,217,23,20,7,50,1,0,25,8,5,0,0,1805,182,10,-121,-18,-4,-33,1
83,34,161,23,16,9,77,1,0,11,14,2,0,0,1868,106,28,149,39,17,7,88,1,5,16,15,3,3,2,1732,23,-6,-12,16,1,11,0
90,21,176,36,18,12,71,1,1,15,13,3,0,0,1591,163,37,284,32,21,3,25,0,0,29,13,6,0,0,2009,73,16,108,-4,3,-46,1
75,23,188,29,22,7,62,0,0,14,14,6,1,1,1702,111,33,228,23,19,3,15,0,1,20,10,4,0,0,1898,36,10,40,-6,-3,-47,1
87,24,248,39,24,11,80,1,2,18,12,3,1,0,1970,101,21,259,28,21,11,75,3,1,22,7,2,0,0,1630,14,-3,11,-11,-3,-5,1
114,20,182,32,12,14,84,2,2,15,12,2,1,0,1307,146,39,274,29,21,8,60,0,0,21,17,6,0,0,2293,32,19,92,-3,9,-24,1
161,41,132,26,17,8,103,0,1,19,16,8,0,0,2062,75,25,185,24,14,8,65,1,3,15,10,3,1,1,1538,-86,-16,53,-2,-3,-38,0
74,22,211,44,23,13,118,1,0,18,15,4,4,4,1792,221,37,137,18,13,4,30,0,0,24,8,2,1,1,1808,147,15,-74,-26,-10,-88,1
116,32,187,27,11,6,35,0,1,16,15,6,1,0,1846,129,30,204,23,13,13,85,0,0,16,10,2,0,0,1754,13,-2,17,-4,2,50,1
91,25,135,27,15,8,55,1,0,11,12,2,2,1,1705,69,22,284,39,22,7,55,1,3,17,16,7,0,0,1895,-22,-3,149,12,7,0,1
100,26,264,27,20,1,10,0,0,22,10,7,0,0,1548,109,19,204,37,28,9,76,0,1,18,13,5,3,3,2052,9,-7,-60,10,8,66,0
42,15,434,62,40,11,103,2,3,27,14,7,2,2,1924,164,29,292,35,19,11,90,0,0,24,12,5,2,1,1676,122,14,-142,-27,-21,-13,1
183,40,248,24,19,7,50,0,0,26,12,7,0,0,2198,72,18,231,36,21,4,62,0,2,18,11,4,1,1,1402,-111,-22,-17,12,2,12,0
126,23,128,26,17,9,90,1,0,18,11,4,1,0,1526,98,25,273,34,25,14,117,0,0,22,10,4,0,0,2074,-28,2,145,8,8,27,1
141,23,67,21,10,12,79,1,1,13,11,4,1,0,1420,167,41,166,26,15,4,26,0,0,23,15,7,0,0,2180,26,18,99,5,5,-53,1
188,44,118,26,19,5,30,0,0,24,15,5,2,2,2285,12,11,229,34,20,15,119,2,2,13,9,3,0,0,1315,-176,-33,111,8,1,89,0
28,15,124,28,14,5,39,0,0,8,14,3,1,0,1319,115,45,144,21,15,3,19,1,1,17,14,5,1,1,2281,87,30,20,-7,1,-20,1
51,14,117,31,17,8,52,3,1,8,12,4,1,0,1332,97,34,366,46,32,4,37,3,0,24,19,8,0,0,2268,46,20,249,15,15,-15,1
63,16,198,34,23,11,85,1,2,16,10,1,2,2,1643,285,41,83,22,11,8,65,0,0,22,14,8,1,0,1957,222,25,-115,-12,-12,-20,1
119,23,235,38,26,8,84,0,0,21,12,6,1,1,1569,141,39,211,36,20,2,10,0,1,26,18,13,1,1,2362,22,16,-24,-2,-6,-74,1
28,17,368,48,33,3,25,1,1,25,11,3,0,0,1857,144,27,209,30,19,6,40,2,2,19,10,5,0,0,1743,116,10,-159,-18,-14,15,0
58,19,294,47,28,8,86,1,1,22,14,7,1,0,1731,90,33,196,24,17,8,75,1,0,17,14,6,0,0,1869,32,14,-98,-23,-11,-11,1
125,26,322,53,30,10,67,1,0,28,15,6,0,0,2029,165,28,92,26,10,6,43,0,0,11,14,4,1,1,1571,40,2,-230,-27,-20,-24,1
95,26,159,35,14,11,107,2,3,14,16,4,1,1,1863,94,28,215,28,20,6,36,0,0,21,10,3,0,0,1737,-1,2,56,-7,6,-71,1
141,30,342,27,22,11,83,0,1,20,10,3,0,0,1945,116,26,284,34,18,8,84,0,0,22,13,5,0,0,1655,-25,-4,-58,7,-4,1,0
87,27,243,29,18,4,30,1,1,15,11,4,0,0,1548,72,27,396,46,29,8,55,1,3,19,16,7,4,1,2052,-15,0,153,17,11,25,0
176,34,90,26,16,7,57,3,0,16,13,5,2,0,1874,76,22,202,34,23,5,55,0,2,15,13,5,0,0,1726,-100,-12,112,8,7,-2,1
134,30,299,38,27,7,50,0,0,26,11,2,0,0,1854,77,17,309,40,26,7,74,1,1,20,12,3,1,1,1746,-57,-13,10,2,-1,24,0
84,26,201,42,27,12,87,0,1,20,14,2,2,2,1991,62,27,150,19,13,6,46,2,1,15,10,3,1,1,1609,-22,1,-51,-23,-14,-41,1
19,9,110,30,16,8,54,0,0,6,12,2,1,0,1157,167,46,289,35,24,5,48,1,0,28,16,6,3,2,2443,148,37,179,5,8,-6,1
159,30,228,37,20,21,147,2,2,26,11,3,2,1,1786,169,37,97,23,10,7,46,0,2,22,14,8,0,0,1814,10,7,-131,-14,-10,-101,1
90,31,220,31,22,7,65,0,0,22,11,4,1,0,1869,161,28,96,27,18,6,39,0,1,14,13,0,2,1,1731,71,-3,-124,-4,-4,-26,0
132,26,232,33,22,12,94,1,0,20,13,4,1,0,1835,181,37,161,24,10,10,98,1,0,19,11,2,0,0,1765,49,11,-71,-9,-12,4,1
120,28,245,31,23,10,80,1,2,22,10,6,1,1,1852,133,28,44,23,9,7,40,1,4,12,14,3,1,1,1748,13,0,-201,-8,-14,-40,0
113,20,210,33,21,18,102,2,3,16,9,3,1,0,1488,99,36,137,26,20,7,63,1,0,21,14,6,0,0,2112,-14,16,-73,-7,-1,-39,1
104,32,207,26,17,11,104,1,0,25,10,4,0,0,2003,66,21,213,35,20,9,100,1,1,20,12,5,0,0,1597,-38,-11,6,9,3,-4,0
119,28,268,33,27,4,32,0,0,24,10,3,1,0,1744,118,24,259,41,26,5,69,1,2,21,12,6,1,1,1856,-1,-4,-9,8,-1,37,0
89,19,299,46,24,8,55,0,0,22,16,6,0,0,1663,178,34,254,24,17,11,82,0,0,20,11,3,0,0,1937,89,15,-45,-22,-7,27,1
54,25,263,32,20,10,73,1,3,14,14,6,1,0,1677,52,24,157,28,17,10,75,3,1,11,15,4,2,1,1923,-2,-1,-106,-4,-3,2,0
91,19,179,29,14,6,32,3,1,11,11,1,1,1,1381,92,38,293,37,26,6,44,3,1,25,16,9,0,0,2446,1,19,114,8,12,12,1
149,21,126,26,12,7,50,1,2,17,10,3,0,0,1285,177,39,164,26,18,13,99,0,2,24,10,5,0,0,2315,28,18,38,0,6,49,1
160,33,106,23,11,10,79,0,1,21,12,7,0,0,1594,211,32,245,33,22,8,55,1,1,32,7,3,0,0,2006,51,-1,139,10,11,-24,0
64,18,243,43,21,9,60,2,0,13,14,3,3,1,1461,180,34,162,26,18,9,65,1,0,15,17,8,0,0,2139,116,16,-81,-17,-3,5,1
80,19,203,49,26,14,91,0,2,16,16,3,4,1,1942,95,30,97,25,16,8,58,2,1,16,10,3,1,0,1658,15,11,-106,-24,-10,-33,1
93,35,153,35,19,10,106,0,1,17,19,7,1,0,2164,73,30,145,28,11,7,80,1,3,16,12,1,0,0,1652,-20,-5,-8,-7,-8,-26,0
101,28,297,41,25,5,54,3,0,26,12,5,1,0,1940,96,32,178,25,15,4,24,0,0,18,12,4,1,1,1660,-5,4,-119,-16,-10,-30,1
67,22,160,33,19,13,95,0,0,14,16,6,2,2,1707,320,42,139,20,14,6,45,0,1,31,11,7,3,3,1893,253,20,-21,-13,-5,-50,1
190,41,156,21,15,5,35,0,0,22,11,2,0,0,2118,39,13,271,48,24,8,51,0,1,19,13,3,4,2,1482,-151,-28,115,27,9,16,0
70,18,116,30,16,8,53,2,1,12,11,4,0,0,1375,150,33,201,31,23,11,97,0,1,16,15,6,2,2,2225,80,15,85,1,7,44,1
105,21,241,29,23,9,50,1,3,20,7,3,0,0,1626,176,38,187,32,22,3,15,1,0,31,12,8,1,0,1974,71,17,-54,3,-1,-35,1
185,45,277,34,20,7,63,0,0,24,17,8,1,0,2500,94,14,192,31,12,4,30,0,1,9,13,3,0,0,1100,-91,-31,-85,-3,-8,-33,0
164,39,111,24,13,9,81,0,2,16,15,3,0,0,2048,72,22,217,42,23,9,83,1,2,20,13,3,0,0,1552,-92,-17,106,18,10,2,1
119,32,213,39,18,9,102,1,1,24,16,6,2,0,2037,109,27,189,29,18,8,65,1,0,16,14,5,1,1,1563,-10,-5,-24,-10,0,-37,1
66,22,133,32,18,11,100,0,0,12,17,6,0,0,1702,143,29,133,29,15,9,60,0,0,17,12,2,1,1,1898,77,7,0,-3,-3,-40,1
90,28,258,45,26,11,90,2,1,16,17,5,3,0,2010,55,22,118,28,12,9,71,0,1,9,15,3,0,0,1590,-35,-6,-140,-17,-14,-19,1
45,23,329,37,29,6,50,0,0,19,13,6,0,0,1797,108,26,255,31,23,4,21,1,0,24,10,5,1,0,1803,63,3,-74,-6,-6,-29,1
140,26,54,16,8,5,29,1,1,9,12,3,0,0,1602,204,39,253,21,14,8,60,0,0,24,11,5,0,0,1998,64,13,199,5,6,31,1
205,34,232,27,21,6,35,1,1,30,7,5,1,1,1999,133,33,6,9,6,3,15,1,1,13,12,6,1,1,1601,-72,-1,-226,-18,-15,-20,1
119,37,210,34,22,11,72,1,0,19,14,5,1,1,2237,118,22,56,19,10,8,50,0,3,11,8,0,0,0,1363,-1,-15,-154,-15,-12,-22,0
221,47,83,14,9,5,65,1,1,20,11,4,0,0,2129,91,19,211,36,21,4,35,0,2,20,11,3,0,0,1471,-130,-28,128,22,12,-30,0
21,20,270,40,23,9,72,1,2,15,15,5,0,0,1727,24,14,262,54,35,10,72,0,2,22,14,4,1,0,1873,3,-6,-8,14,12,0,1
84,23,126,27,19,7,51,1,0,15,10,3,1,0,1629,162,37,254,27,19,8,53,1,0,26,11,7,0,0,1971,78,14,128,0,0,2,1
191,33,194,29,18,6,53,1,0,20,13,5,1,1,2041,97,20,214,42,23,7,52,1,1,22,10,5,0,0,1559,-94,-13,20,13,5,-1,1
37,18,194,38,23,5,44,3,1,16,13,4,3,2,1598,205,38,105,26,11,4,30,0,3,19,16,6,2,2,2002,168,20,-89,-12,-12,-14,1
38,13,87,34,14,10,88,3,1,7,12,2,2,0,1239,262,45,124,31,12,9,73,0,1,19,19,7,1,0,2361,224,32,37,-3,-2,-15,1
188,47,154,28,16,5,34,1,1,20,18,7,0,0,2183,90,17,113,31,14,8,77,1,1,14,11,0,2,0,1417,-98,-30,-41,3,-2,43,0
147,39,247,33,20,12,74,1,1,24,14,7,1,0,2360,93,22,180,21,14,7,57,2,0,18,7,1,0,0,1240,-54,-17,-67,-12,-6,-17,1
76,22,277,39,26,6,29,0,5,17,10,6,0,0,1789,95,27,222,34,22,3,58,0,1,21,13,7,0,0,1811,19,5,-55,-5,-4,29,1
43,20,232,34,21,8,65,1,2,13,14,3,0,0,1781,158,39,50,19,8,7,65,0,0,9,16,2,0,0,1819,115,19,-182,-15,-13,0,1
95,21,323,43,31,9,58,1,0,21,13,2,2,1,1879,83,22,341,44,26,4,38,1,1,22,11,4,1,0,1721,-12,1,18,1,-5,-20,1
92,23,232,29,17,7,55,0,1,17,11,4,1,0,1463,140,25,186,40,26,9,79,2,0,19,17,10,1,0,2137,48,2,-46,11,9,24,0
156,33,169,25,12,1,5,2,0,16,12,3,2,1,1744,117,37,120,20,10,5,35,0,1,11,16,6,0,0,1856,-39,4,-49,-5,-2,30,1
221,28,206,31,18,4,25,1,1,16,14,6,3,1,1882,200,33,186,21,13,9,59,0,3,15,12,4,0,0,1718,-21,5,-20,-10,-5,34,1
115,29,218,31,17,10,75,1,0,14,14,3,1,1,1822,93,29,185,35,23,5,40,0,1,17,17,5,0,0,2155,-22,0,-33,4,6,-35,0
79,19,272,34,12,10,70,0,2,12,13,3,1,0,1380,255,36,309,35,22,6,50,0,0,28,14,6,1,1,2220,176,17,37,1,10,-20,1
71,24,142,34,16,8,56,0,2,12,17,7,2,1,1631,146,32,202,24,19,0,0,1,0,21,11,5,0,0,1969,75,8,60,-10,3,-56,1
82,18,171,32,16,10,57,0,0,14,13,5,2,1,1449,111,39,341,31,21,6,53,0,0,27,13,8,0,0,2151,29,21,170,-1,5,-4,1
72,27,246,44,25,6,38,1,2,20,18,9,3,1,1864,101,28,160,31,18,4,19,1,1,19,12,4,2,1,1736,29,1,-86,-13,-7,-19,1
58,20,231,48,28,6,31,1,2,20,17,9,1,0,1821,164,35,121,22,15,3,18,1,0,19,12,3,0,0,1779,106,15,-110,-26,-13,-13,1
208,33,162,20,13,6,52,0,0,22,9,3,0,0,1683,71,20,307,48,29,9,78,1,3,23,16,8,3,2,1917,-137,-13,145,28,16,26,0
77,32,210,18,11,5,24,0,0,15,13,5,0,0,1717,44,17,226,42,25,8,42,2,2,18,12,4,1,1,1883,-33,-15,16,24,14,18,0
162,41,220,31,22,4,28,2,0,27,17,11,1,0,2175,105,25,103,22,13,7,60,0,1,11,9,0,1,1,1425,-57,-16,-117,-9,-9,32,0
95,35,234,26,19,5,54,1,0,25,11,7,0,0,2006,118,25,122,31,19,7,40,1,0,17,14,5,2,1,1594,23,-10,-112,5,0,-14,0
101,26,162,40,21,9,84,0,1,21,17,10,0,0,1914,114,24,207,35,22,11,87,1,0,18,14,6,0,0,1686,13,-2,45,-5,1,3,1
88,23,191,30,22,4,30,1,0,17,12,4,2,1,1856,98,27,214,25,19,6,45,0,0,18,12,6,0,0,1744,10,4,23,-5,-3,15,1
183,32,131,26,12,8,60,1,2,15,15,4,0,0,1578,133,33,150,26,16,6,70,2,2,15,15,7,0,0,2022,-50,1,19,0,4,10,0
133,35,262,27,20,12,124,1,1,27,10,5,0,0,1984,89,25,180,31,17,5,35,0,0,19,13,7,1,0,1616,-44,-10,-82,4,-3,-89,0
93,32,251,33,18,10,81,0,0,19,16,6,3,2,1985,52,22,86,21,12,12,80,0,1,9,14,3,1,1,1615,-41,-10,-165,-12,-6,-1,0
98,24,225,42,18,2,15,0,1,19,15,5,2,0,1656,169,32,272,34,18,9,63,1,1,16,16,7,1,0,1944,71,8,47,-8,0,48,1
45,23,291,35,22,5,64,0,1,17,13,4,1,0,1683,78,29,215,29,21,4,35,1,0,17,16,7,0,0,1917,33,6,-76,-6,-1,-29,1
154,33,59,16,9,4,53,0,1,13,8,0,0,0,1612,65,29,203,35,20,8,74,2,1,16,17,8,2,0,1988,-89,-4,144,19,11,21,0
132,38,321,37,28,7,32,0,1,28,17,12,1,1,2201,34,14,254,40,25,4,24,2,0,17,11,4,3,2,1399,-98,-24,-67,3,-3,-8,0
83,24,126,25,16,4,35,0,0,11,13,4,1,0,1645,126,29,293,35,26,6,50,2,0,26,10,4,0,0,1955,43,5,167,10,10,15,1
61,19,242,34,17,9,75,1,1,16,11,5,2,1,1417,159,41,223,27,18,4,30,0,0,25,13,6,2,1,2183,98,22,-19,-7,1,-45,1
38,16,359,45,29,9,80,1,0,21,13,6,1,0,1532,157,32,226,31,21,7,50,0,0,22,14,5,1,1,2068,119,16,-133,-14,-8,-30,1
